timestamp,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,cart_upstream_error_rate,product_upstream_error_rate,active_connections
2026-06-01T00:21:00Z,69.01,34.3,0.0,0.48,0.21,349
2026-06-01T00:21:30Z,60.49,12.1,0.0,0.57,0.05,348
2026-06-01T00:22:00Z,71.98,10.0,0.0,0.77,0.14,358
2026-06-01T00:22:30Z,71.12,27.5,0.0,0.61,0.3,348
2026-06-01T00:23:00Z,59.85,34.3,0.0,0.03,0.29,356
2026-06-01T00:23:30Z,52.4,19.3,1.45,0.44,0.25,328
2026-06-01T00:24:00Z,54.8,32.7,0.0,0.2,0.13,361
2026-06-01T00:24:30Z,53.58,36.4,0.0,0.01,0.16,351
2026-06-01T00:25:00Z,72.29,50.5,0.73,0.54,0.21,357
2026-06-01T00:25:30Z,61.63,28.2,0.0,0.0,0.08,356
2026-06-01T00:26:00Z,51.57,14.1,0.11,0.56,0.21,337
2026-06-01T00:26:30Z,56.78,18.9,0.83,0.8,0.29,357
2026-06-01T00:27:00Z,58.94,29.8,0.0,0.32,0.03,330
2026-06-01T00:27:30Z,63.97,15.9,0.0,0.19,0.2,359
2026-06-01T00:28:00Z,66.56,20.7,0.49,0.43,0.19,326
2026-06-01T00:28:30Z,57.06,10.0,0.0,0.65,0.24,345
2026-06-01T00:29:00Z,67.84,54.6,0.0,0.14,0.07,330
2026-06-01T00:29:30Z,65.57,10.0,0.0,0.13,0.23,364
2026-06-01T00:30:00Z,54.65,40.5,0.0,0.5,0.21,316
2026-06-01T00:30:30Z,43.37,11.6,0.0,0.08,0.04,338
2026-06-01T00:31:00Z,68.46,23.2,0.0,0.25,0.1,344
2026-06-01T00:31:30Z,78.26,35.7,0.0,0.22,0.08,365
2026-06-01T00:32:00Z,66.44,10.0,0.0,0.36,0.01,358
2026-06-01T00:32:30Z,63.92,25.3,0.16,0.43,0.29,339
2026-06-01T00:33:00Z,57.31,21.8,0.0,0.08,0.21,355
2026-06-01T00:33:30Z,69.87,52.0,0.0,0.72,0.06,359
2026-06-01T00:34:00Z,53.26,26.8,0.59,0.63,0.18,341
2026-06-01T00:34:30Z,58.55,26.7,0.07,0.56,0.28,341
2026-06-01T00:35:00Z,56.26,27.7,0.22,0.41,0.28,346
2026-06-01T00:35:30Z,69.82,10.0,0.66,0.04,0.2,347
2026-06-01T00:36:00Z,56.08,16.3,0.0,0.0,0.2,336
2026-06-01T00:36:30Z,63.11,11.2,0.0,0.74,0.01,354
2026-06-01T00:37:00Z,75.48,39.9,0.0,0.38,0.12,348
2026-06-01T00:37:30Z,48.44,14.3,0.0,0.12,0.23,309
2026-06-01T00:38:00Z,57.66,13.6,0.43,0.25,0.07,342
2026-06-01T00:38:30Z,59.22,12.2,1.5,0.79,0.19,359
2026-06-01T00:39:00Z,67.61,49.0,0.0,0.04,0.17,354
2026-06-01T00:39:30Z,54.45,10.0,0.42,0.49,0.27,350
2026-06-01T00:40:00Z,51.6,20.6,0.9,0.09,0.2,306
2026-06-01T00:40:30Z,36.26,10.0,0.16,0.26,0.09,328
2026-06-01T00:41:00Z,56.44,24.0,1.5,0.36,0.15,331
2026-06-01T00:41:30Z,65.88,10.0,1.05,0.33,0.13,340
2026-06-01T00:42:00Z,75.2,11.8,1.35,0.3,0.18,350
2026-06-01T00:42:30Z,59.41,18.7,0.0,0.63,0.02,348
2026-06-01T00:43:00Z,51.44,30.4,0.48,0.6,0.26,386
2026-06-01T00:43:30Z,51.84,32.8,0.18,0.15,0.06,348
2026-06-01T00:44:00Z,60.85,13.0,0.0,0.79,0.13,348
2026-06-01T00:44:30Z,69.14,47.3,0.0,0.02,0.11,341
2026-06-01T00:45:00Z,57.32,13.7,0.0,0.2,0.24,335
2026-06-01T00:45:30Z,74.24,10.0,0.0,0.36,0.11,375
2026-06-01T00:46:00Z,59.62,10.0,0.0,0.64,0.11,334
2026-06-01T00:46:30Z,57.58,10.0,0.0,0.62,0.12,357
2026-06-01T00:47:00Z,64.24,12.6,0.0,0.73,0.07,351
2026-06-01T00:47:30Z,56.29,31.5,0.56,0.62,0.28,370
2026-06-01T00:48:00Z,41.23,49.3,0.0,0.63,0.02,359
2026-06-01T00:48:30Z,59.1,58.7,0.0,0.01,0.12,333
2026-06-01T00:49:00Z,65.78,10.0,1.5,0.36,0.25,340
2026-06-01T00:49:30Z,61.36,18.9,0.0,0.59,0.03,378
2026-06-01T00:50:00Z,65.74,10.0,0.0,0.04,0.09,351
2026-06-01T00:50:30Z,74.24,47.3,1.38,0.48,0.27,347
2026-06-01T00:51:00Z,64.27,23.5,0.63,0.43,0.19,360
2026-06-01T00:51:30Z,67.61,24.9,0.86,0.01,0.21,385
2026-06-01T00:52:00Z,56.97,27.6,0.61,0.18,0.04,338
2026-06-01T00:52:30Z,56.5,22.9,0.0,0.45,0.23,353
2026-06-01T00:53:00Z,49.19,41.1,0.76,0.65,0.22,353
2026-06-01T00:53:30Z,56.69,30.8,0.7,0.55,0.08,359
2026-06-01T00:54:00Z,48.8,10.0,0.64,0.05,0.23,341
2026-06-01T00:54:30Z,48.51,10.0,0.0,0.29,0.15,369
2026-06-01T00:55:00Z,70.41,29.4,0.0,0.02,0.16,346
2026-06-01T00:55:30Z,57.52,10.0,0.0,0.07,0.29,335
2026-06-01T00:56:00Z,68.9,10.0,0.0,0.64,0.1,356
2026-06-01T00:56:30Z,49.78,10.0,0.0,0.37,0.07,373
2026-06-01T00:57:00Z,53.41,19.0,1.5,0.12,0.23,350
2026-06-01T00:57:30Z,61.26,31.6,0.74,0.01,0.28,337
2026-06-01T00:58:00Z,51.15,24.4,0.0,0.45,0.07,344
2026-06-01T00:58:30Z,52.73,25.5,0.0,0.64,0.16,344
2026-06-01T00:59:00Z,55.11,29.0,1.5,0.63,0.15,316
2026-06-01T00:59:30Z,62.64,10.0,0.0,0.68,0.29,334
2026-06-01T01:00:00Z,55.09,36.4,0.0,0.1,0.15,354
2026-06-01T01:00:30Z,50.25,32.4,0.0,0.53,0.05,357
2026-06-01T01:01:00Z,57.56,22.0,0.0,0.63,0.27,331
2026-06-01T01:01:30Z,55.93,29.2,1.26,0.76,0.23,340
2026-06-01T01:02:00Z,63.17,44.9,0.66,0.58,0.04,321
2026-06-01T01:02:30Z,58.35,10.0,0.21,0.67,0.18,344
2026-06-01T01:03:00Z,61.39,10.0,0.0,0.73,0.16,347
2026-06-01T01:03:30Z,44.15,11.8,0.34,0.38,0.29,344
2026-06-01T01:04:00Z,56.56,29.5,0.48,0.48,0.15,333
2026-06-01T01:04:30Z,65.84,39.8,0.0,0.19,0.03,347
2026-06-01T01:05:00Z,56.11,20.5,1.05,0.13,0.11,331
2026-06-01T01:05:30Z,50.72,16.5,0.0,0.02,0.06,332
2026-06-01T01:06:00Z,53.09,11.9,0.48,0.7,0.01,334
2026-06-01T01:06:30Z,54.93,24.6,0.0,0.52,0.05,339
2026-06-01T01:07:00Z,60.88,10.7,0.0,0.56,0.09,335
2026-06-01T01:07:30Z,56.6,23.4,0.27,0.65,0.1,341
2026-06-01T01:08:00Z,64.1,32.0,0.25,0.64,0.01,324
2026-06-01T01:08:30Z,65.66,35.5,0.98,0.3,0.01,327
2026-06-01T01:09:00Z,57.5,47.7,0.0,0.41,0.24,347
2026-06-01T01:09:30Z,62.93,22.8,0.82,0.42,0.03,349
2026-06-01T01:10:00Z,57.78,10.0,0.0,0.7,0.11,330
2026-06-01T01:10:30Z,66.47,36.0,0.0,0.43,0.09,346
2026-06-01T01:11:00Z,59.3,51.3,0.0,0.03,0.22,356
2026-06-01T01:11:30Z,51.66,12.2,0.37,0.22,0.12,331
2026-06-01T01:12:00Z,46.11,10.0,0.0,0.69,0.21,354
2026-06-01T01:12:30Z,59.49,10.0,0.0,0.35,0.2,346
2026-06-01T01:13:00Z,70.79,13.6,0.32,0.43,0.21,345
2026-06-01T01:13:30Z,62.05,22.3,0.0,0.37,0.13,339
2026-06-01T01:14:00Z,54.17,24.9,0.0,0.57,0.18,364
2026-06-01T01:14:30Z,50.79,10.0,0.97,0.6,0.22,327
2026-06-01T01:15:00Z,56.95,27.4,0.82,0.54,0.14,315
2026-06-01T01:15:30Z,45.02,10.0,1.21,0.6,0.03,300
2026-06-01T01:16:00Z,50.0,49.6,1.18,0.69,0.07,340
2026-06-01T01:16:30Z,64.89,10.0,0.22,0.51,0.21,350
2026-06-01T01:17:00Z,48.95,27.2,0.76,0.14,0.06,338
2026-06-01T01:17:30Z,65.89,23.2,0.27,0.79,0.22,362
2026-06-01T01:18:00Z,64.81,48.3,0.4,0.18,0.29,370
2026-06-01T01:18:30Z,54.19,10.0,0.0,0.75,0.25,333
2026-06-01T01:19:00Z,55.89,30.0,0.0,0.68,0.09,333
2026-06-01T01:19:30Z,61.74,26.4,1.5,0.7,0.02,336
2026-06-01T01:20:00Z,52.72,45.6,0.0,0.53,0.27,342
2026-06-01T01:20:30Z,51.6,10.0,0.47,0.48,0.19,342
2026-06-01T01:21:00Z,48.54,33.7,0.0,0.56,0.16,361
2026-06-01T01:21:30Z,53.91,22.1,0.18,0.32,0.29,335
2026-06-01T01:22:00Z,49.82,31.0,0.0,0.16,0.29,341
2026-06-01T01:22:30Z,49.29,32.7,0.6,0.04,0.27,344
2026-06-01T01:23:00Z,52.38,10.0,0.41,0.62,0.26,346
2026-06-01T01:23:30Z,63.83,39.3,0.0,0.24,0.04,348
2026-06-01T01:24:00Z,49.11,47.7,0.0,0.78,0.03,344
2026-06-01T01:24:30Z,42.1,10.0,0.0,0.3,0.07,331
2026-06-01T01:25:00Z,40.51,23.3,0.0,0.29,0.05,304
2026-06-01T01:25:30Z,52.95,34.1,0.0,0.13,0.15,313
2026-06-01T01:26:00Z,43.85,20.7,1.49,0.68,0.04,330
2026-06-01T01:26:30Z,47.93,10.2,1.11,0.38,0.17,323
2026-06-01T01:27:00Z,45.27,52.8,0.45,0.23,0.21,340
2026-06-01T01:27:30Z,56.05,11.1,0.0,0.01,0.22,318
2026-06-01T01:28:00Z,49.31,39.6,0.0,0.03,0.18,344
2026-06-01T01:28:30Z,59.18,11.5,1.5,0.46,0.26,341
2026-06-01T01:29:00Z,65.99,26.2,0.0,0.69,0.25,336
2026-06-01T01:29:30Z,51.1,10.0,1.08,0.07,0.09,320
2026-06-01T01:30:00Z,48.58,17.1,0.0,0.72,0.18,350
2026-06-01T01:30:30Z,60.83,19.6,0.83,0.77,0.11,332
2026-06-01T01:31:00Z,50.83,10.0,0.0,0.4,0.19,361
2026-06-01T01:31:30Z,52.58,39.1,0.0,0.35,0.01,344
2026-06-01T01:32:00Z,46.59,29.1,0.13,0.37,0.14,337
2026-06-01T01:32:30Z,51.68,21.7,1.24,0.68,0.07,373
2026-06-01T01:33:00Z,50.36,10.0,0.0,0.14,0.24,320
2026-06-01T01:33:30Z,47.53,29.8,1.3,0.22,0.03,324
2026-06-01T01:34:00Z,47.47,25.0,0.0,0.3,0.26,340
2026-06-01T01:34:30Z,60.17,13.0,0.0,0.63,0.09,353
2026-06-01T01:35:00Z,56.81,34.0,1.13,0.0,0.2,317
2026-06-01T01:35:30Z,47.75,10.0,0.5,0.14,0.14,318
2026-06-01T01:36:00Z,48.9,26.2,0.46,0.36,0.27,313
2026-06-01T01:36:30Z,52.76,10.0,0.0,0.59,0.04,336
2026-06-01T01:37:00Z,63.44,21.0,1.07,0.19,0.03,340
2026-06-01T01:37:30Z,53.29,10.0,0.75,0.22,0.1,333
2026-06-01T01:38:00Z,62.65,10.0,0.0,0.09,0.1,331
2026-06-01T01:38:30Z,45.05,10.0,1.16,0.36,0.04,342
2026-06-01T01:39:00Z,60.24,34.4,0.38,0.71,0.08,322
2026-06-01T01:39:30Z,56.12,10.0,0.45,0.15,0.03,320
2026-06-01T01:40:00Z,47.39,10.0,0.18,0.15,0.11,314
2026-06-01T01:40:30Z,55.12,12.0,0.0,0.26,0.15,338
2026-06-01T01:41:00Z,46.4,30.9,0.56,0.77,0.3,344
2026-06-01T01:41:30Z,53.05,12.0,0.0,0.5,0.3,342
2026-06-01T01:42:00Z,59.79,26.9,0.32,0.49,0.27,340
2026-06-01T01:42:30Z,47.59,27.8,0.0,0.42,0.02,344
2026-06-01T01:43:00Z,51.18,30.0,0.07,0.35,0.14,338
2026-06-01T01:43:30Z,44.0,10.0,0.19,0.33,0.05,343
2026-06-01T01:44:00Z,51.27,23.7,0.05,0.07,0.01,348
2026-06-01T01:44:30Z,59.18,16.0,1.11,0.76,0.11,351
2026-06-01T01:45:00Z,68.35,10.0,0.0,0.31,0.28,340
2026-06-01T01:45:30Z,57.73,17.8,0.47,0.11,0.06,353
2026-06-01T01:46:00Z,55.15,15.6,0.0,0.26,0.14,319
2026-06-01T01:46:30Z,50.28,10.0,0.0,0.26,0.13,344
2026-06-01T01:47:00Z,51.69,10.0,1.5,0.42,0.21,321
2026-06-01T01:47:30Z,37.27,21.2,0.0,0.05,0.2,323
2026-06-01T01:48:00Z,46.89,10.0,0.0,0.35,0.06,336
2026-06-01T01:48:30Z,59.37,10.0,1.5,0.73,0.03,294
2026-06-01T01:49:00Z,47.66,27.6,0.0,0.74,0.16,345
2026-06-01T01:49:30Z,52.29,31.2,0.36,0.29,0.06,298
2026-06-01T01:50:00Z,57.81,10.7,0.0,0.22,0.3,339
2026-06-01T01:50:30Z,57.92,38.4,0.88,0.38,0.21,314
2026-06-01T01:51:00Z,48.08,42.7,0.0,0.14,0.03,321
2026-06-01T01:51:30Z,63.57,61.4,0.0,0.03,0.24,353
2026-06-01T01:52:00Z,59.61,25.2,0.0,0.06,0.22,313
2026-06-01T01:52:30Z,48.41,18.7,0.0,0.23,0.17,351
2026-06-01T01:53:00Z,60.41,10.0,0.0,0.15,0.3,341
2026-06-01T01:53:30Z,48.97,30.4,0.0,0.37,0.27,328
2026-06-01T01:54:00Z,50.54,24.2,0.0,0.49,0.11,307
2026-06-01T01:54:30Z,46.71,36.2,0.08,0.73,0.27,284
2026-06-01T01:55:00Z,56.44,21.7,0.31,0.42,0.15,342
2026-06-01T01:55:30Z,59.39,17.2,0.13,0.74,0.09,308
2026-06-01T01:56:00Z,47.23,31.1,1.11,0.72,0.06,316
2026-06-01T01:56:30Z,47.68,10.0,0.0,0.15,0.15,319
2026-06-01T01:57:00Z,52.46,10.0,0.0,0.04,0.29,309
2026-06-01T01:57:30Z,43.17,24.2,0.0,0.18,0.26,364
2026-06-01T01:58:00Z,50.91,26.1,0.0,0.04,0.28,297
2026-06-01T01:58:30Z,48.76,10.0,0.58,0.04,0.27,333
2026-06-01T01:59:00Z,44.37,46.7,0.0,0.16,0.16,336
2026-06-01T01:59:30Z,48.19,19.5,0.0,0.53,0.15,316
2026-06-01T02:00:00Z,51.03,40.0,0.0,0.29,0.08,333
2026-06-01T02:00:30Z,53.34,12.5,1.12,0.49,0.03,300
2026-06-01T02:01:00Z,42.55,13.3,0.0,0.76,0.23,319
2026-06-01T02:01:30Z,64.36,38.0,0.0,0.09,0.29,346
2026-06-01T02:02:00Z,59.45,32.2,1.5,0.04,0.05,319
2026-06-01T02:02:30Z,54.36,10.0,0.23,0.01,0.25,311
2026-06-01T02:03:00Z,60.36,35.0,1.5,0.63,0.27,341
2026-06-01T02:03:30Z,48.05,26.5,0.0,0.68,0.08,305
2026-06-01T02:04:00Z,48.7,29.1,0.08,0.65,0.15,342
2026-06-01T02:04:30Z,67.87,42.4,0.46,0.69,0.29,336
2026-06-01T02:05:00Z,53.46,10.0,0.0,0.02,0.28,324
2026-06-01T02:05:30Z,54.8,10.0,0.53,0.53,0.1,326
2026-06-01T02:06:00Z,45.69,23.6,0.0,0.73,0.28,310
2026-06-01T02:06:30Z,42.47,23.1,0.0,0.68,0.06,356
2026-06-01T02:07:00Z,51.94,10.0,0.06,0.2,0.28,310
2026-06-01T02:07:30Z,64.31,29.9,0.71,0.56,0.08,297
2026-06-01T02:08:00Z,58.11,10.0,0.0,0.25,0.15,332
2026-06-01T02:08:30Z,52.15,22.3,0.0,0.4,0.13,339
2026-06-01T02:09:00Z,41.01,10.0,0.09,0.26,0.03,322
2026-06-01T02:09:30Z,39.16,17.4,0.0,0.6,0.03,318
2026-06-01T02:10:00Z,52.91,24.7,0.0,0.71,0.15,336
2026-06-01T02:10:30Z,44.96,36.6,0.69,0.75,0.28,328
2026-06-01T02:11:00Z,55.94,16.7,0.0,0.05,0.24,328
2026-06-01T02:11:30Z,52.72,17.2,0.0,0.66,0.28,304
2026-06-01T02:12:00Z,53.16,10.0,0.04,0.29,0.29,333
2026-06-01T02:12:30Z,56.23,10.0,0.12,0.79,0.26,312
2026-06-01T02:13:00Z,56.74,10.0,0.11,0.73,0.27,336
2026-06-01T02:13:30Z,48.97,24.0,0.5,0.61,0.11,302
2026-06-01T02:14:00Z,43.51,44.4,0.0,0.16,0.29,329
2026-06-01T02:14:30Z,46.72,42.7,0.0,0.13,0.01,320
2026-06-01T02:15:00Z,46.42,10.0,0.0,0.3,0.17,333
2026-06-01T02:15:30Z,45.75,20.4,0.28,0.39,0.09,323
2026-06-01T02:16:00Z,52.75,10.0,0.15,0.07,0.14,317
2026-06-01T02:16:30Z,53.53,21.5,0.0,0.37,0.1,348
2026-06-01T02:17:00Z,45.98,11.8,0.47,0.79,0.13,352
2026-06-01T02:17:30Z,58.72,43.7,0.0,0.62,0.05,344
2026-06-01T02:18:00Z,52.18,10.0,0.0,0.1,0.1,304
2026-06-01T02:18:30Z,49.7,38.9,0.0,0.7,0.21,336
2026-06-01T02:19:00Z,38.91,10.1,0.39,0.28,0.29,288
2026-06-01T02:19:30Z,51.64,22.6,0.0,0.65,0.14,337
2026-06-01T02:20:00Z,48.92,10.0,0.37,0.13,0.04,335
2026-06-01T02:20:30Z,28.58,10.0,0.04,0.03,0.05,331
2026-06-01T02:21:00Z,50.3,39.0,0.59,0.14,0.24,346
2026-06-01T02:21:30Z,44.75,13.4,1.35,0.56,0.04,318
2026-06-01T02:22:00Z,54.96,19.7,0.0,0.68,0.23,330
2026-06-01T02:22:30Z,47.84,29.8,0.0,0.25,0.01,310
2026-06-01T02:23:00Z,43.04,20.2,1.5,0.21,0.22,326
2026-06-01T02:23:30Z,52.13,31.3,0.0,0.49,0.1,320
2026-06-01T02:24:00Z,46.1,17.5,0.0,0.43,0.16,334
2026-06-01T02:24:30Z,66.29,28.0,0.0,0.01,0.02,336
2026-06-01T02:25:00Z,49.9,14.5,0.0,0.58,0.08,327
2026-06-01T02:25:30Z,45.53,16.7,0.0,0.71,0.03,298
2026-06-01T02:26:00Z,46.73,29.2,1.44,0.13,0.27,307
2026-06-01T02:26:30Z,47.85,22.4,0.59,0.04,0.01,344
2026-06-01T02:27:00Z,57.05,18.6,1.19,0.54,0.09,323
2026-06-01T02:27:30Z,50.02,19.8,0.0,0.1,0.29,341
2026-06-01T02:28:00Z,45.03,34.3,0.11,0.54,0.29,311
2026-06-01T02:28:30Z,53.15,26.6,0.52,0.5,0.22,351
2026-06-01T02:29:00Z,49.33,34.1,0.11,0.42,0.24,336
2026-06-01T02:29:30Z,30.8,10.0,0.0,0.17,0.28,332
2026-06-01T02:30:00Z,42.1,19.3,0.0,0.28,0.28,338
2026-06-01T02:30:30Z,48.16,17.6,0.54,0.48,0.01,341
2026-06-01T02:31:00Z,58.2,26.3,0.41,0.11,0.28,305
2026-06-01T02:31:30Z,46.37,10.0,0.0,0.19,0.03,309
2026-06-01T02:32:00Z,44.63,10.0,0.62,0.06,0.16,341
2026-06-01T02:32:30Z,49.85,10.0,0.02,0.01,0.25,317
2026-06-01T02:33:00Z,48.61,15.1,0.0,0.01,0.11,316
2026-06-01T02:33:30Z,46.45,10.4,0.0,0.34,0.12,326
2026-06-01T02:34:00Z,55.69,51.5,0.0,0.26,0.28,327
2026-06-01T02:34:30Z,45.05,34.0,0.0,0.25,0.08,350
2026-06-01T02:35:00Z,41.22,33.1,0.33,0.13,0.23,342
2026-06-01T02:35:30Z,38.71,17.0,0.01,0.16,0.09,334
2026-06-01T02:36:00Z,28.91,17.5,0.84,0.05,0.26,325
2026-06-01T02:36:30Z,34.22,10.0,0.59,0.75,0.14,323
2026-06-01T02:37:00Z,51.26,26.1,1.5,0.38,0.07,308
2026-06-01T02:37:30Z,45.88,49.1,0.0,0.01,0.2,336
2026-06-01T02:38:00Z,46.15,10.0,0.98,0.14,0.16,326
2026-06-01T02:38:30Z,52.02,20.7,0.18,0.24,0.22,303
2026-06-01T02:39:00Z,46.45,14.0,0.91,0.6,0.03,305
2026-06-01T02:39:30Z,35.75,16.2,0.0,0.29,0.01,321
2026-06-01T02:40:00Z,46.89,14.4,0.72,0.78,0.05,314
2026-06-01T02:40:30Z,53.21,10.0,1.24,0.38,0.2,298
2026-06-01T02:41:00Z,47.59,10.0,0.0,0.58,0.12,323
2026-06-01T02:41:30Z,49.29,10.0,0.01,0.8,0.26,313
2026-06-01T02:42:00Z,38.11,16.3,0.0,0.6,0.27,315
2026-06-01T02:42:30Z,45.13,14.5,0.0,0.5,0.29,344
2026-06-01T02:43:00Z,42.44,10.0,0.87,0.65,0.01,322
2026-06-01T02:43:30Z,40.19,10.0,0.0,0.53,0.06,325
2026-06-01T02:44:00Z,51.05,10.0,0.0,0.61,0.03,329
2026-06-01T02:44:30Z,57.36,44.2,0.0,0.28,0.07,326
2026-06-01T02:45:00Z,57.75,29.5,0.0,0.44,0.03,336
2026-06-01T02:45:30Z,68.94,10.0,0.0,0.14,0.3,330
2026-06-01T02:46:00Z,52.54,26.8,0.44,0.58,0.22,318
2026-06-01T02:46:30Z,36.06,14.4,0.0,0.53,0.13,331
2026-06-01T02:47:00Z,49.13,17.9,0.12,0.35,0.1,325
2026-06-01T02:47:30Z,51.32,25.6,0.0,0.01,0.05,309
2026-06-01T02:48:00Z,39.5,22.4,0.89,0.47,0.09,318
2026-06-01T02:48:30Z,38.69,10.0,0.0,0.63,0.16,295
2026-06-01T02:49:00Z,50.34,12.7,0.0,0.66,0.02,310
2026-06-01T02:49:30Z,47.2,19.9,0.34,0.66,0.07,319
2026-06-01T02:50:00Z,50.41,18.8,0.15,0.53,0.29,331
2026-06-01T02:50:30Z,47.53,10.8,0.0,0.66,0.08,319
2026-06-01T02:51:00Z,49.84,55.4,1.11,0.32,0.14,329
2026-06-01T02:51:30Z,43.87,54.3,0.0,0.69,0.03,314
2026-06-01T02:52:00Z,58.01,26.1,0.35,0.77,0.04,321
2026-06-01T02:52:30Z,50.17,22.3,0.06,0.08,0.01,306
2026-06-01T02:53:00Z,48.8,24.7,1.03,0.22,0.16,314
2026-06-01T02:53:30Z,45.21,13.2,0.0,0.5,0.04,301
2026-06-01T02:54:00Z,40.44,24.4,0.0,0.33,0.18,301
2026-06-01T02:54:30Z,45.59,10.0,0.47,0.2,0.07,319
2026-06-01T02:55:00Z,60.81,10.0,1.5,0.43,0.0,334
2026-06-01T02:55:30Z,49.96,10.4,0.0,0.54,0.22,293
2026-06-01T02:56:00Z,55.58,15.4,0.0,0.51,0.1,285
2026-06-01T02:56:30Z,45.99,10.0,0.0,0.43,0.17,337
2026-06-01T02:57:00Z,58.82,26.0,1.5,0.15,0.07,305
2026-06-01T02:57:30Z,59.58,19.0,1.5,0.17,0.05,300
2026-06-01T02:58:00Z,45.73,10.0,0.0,0.11,0.22,324
2026-06-01T02:58:30Z,58.63,25.2,0.82,0.11,0.22,316
2026-06-01T02:59:00Z,45.53,18.9,1.09,0.5,0.0,292
2026-06-01T02:59:30Z,45.75,25.5,0.0,0.29,0.27,330
2026-06-01T03:00:00Z,46.02,52.7,0.0,0.7,0.0,347
2026-06-01T03:00:30Z,49.01,52.3,1.5,0.1,0.15,333
2026-06-01T03:01:00Z,55.87,21.9,0.0,0.26,0.14,291
2026-06-01T03:01:30Z,56.59,10.0,0.0,0.7,0.46,294
2026-06-01T03:02:00Z,45.83,26.4,0.0,0.56,0.68,335
2026-06-01T03:02:30Z,25.69,21.9,0.27,0.2,0.71,319
2026-06-01T03:03:00Z,54.35,26.0,1.1,0.05,0.92,326
2026-06-01T03:03:30Z,52.64,10.0,0.0,0.43,0.58,310
2026-06-01T03:04:00Z,38.58,10.0,0.0,0.64,1.23,323
2026-06-01T03:04:30Z,41.78,11.3,1.12,0.69,0.99,300
2026-06-01T03:05:00Z,40.45,11.8,0.0,0.18,0.84,332
2026-06-01T03:05:30Z,55.56,10.0,0.0,0.52,1.06,309
2026-06-01T03:06:00Z,55.3,42.2,1.32,0.1,1.33,320
2026-06-01T03:06:30Z,52.3,10.0,0.0,0.68,1.57,304
