timestamp,http_requests_per_sec,http_p99_latency_ms,cpu_usage_percent,http_5xx_rate
2026-06-01T00:20:30Z,30.36,45.8,15.64,0.91
2026-06-01T00:21:00Z,29.16,50.9,13.62,0.77
2026-06-01T00:21:30Z,24.64,31.6,28.33,0.38
2026-06-01T00:22:00Z,29.92,20.0,18.87,1.5
2026-06-01T00:22:30Z,37.65,20.0,21.99,0.0
2026-06-01T00:23:00Z,30.98,39.2,10.58,0.0
2026-06-01T00:23:30Z,33.53,20.0,20.19,0.0
2026-06-01T00:24:00Z,23.72,20.0,18.35,0.0
2026-06-01T00:24:30Z,29.59,43.7,18.38,0.8
2026-06-01T00:25:00Z,25.45,24.4,13.66,0.0
2026-06-01T00:25:30Z,22.04,42.3,26.99,0.18
2026-06-01T00:26:00Z,32.25,20.0,14.95,1.14
2026-06-01T00:26:30Z,31.95,40.0,13.9,0.0
2026-06-01T00:27:00Z,28.14,20.5,14.46,0.0
2026-06-01T00:27:30Z,34.99,26.9,25.05,0.0
2026-06-01T00:28:00Z,32.66,65.4,14.99,0.0
2026-06-01T00:28:30Z,25.24,30.3,2.0,0.0
2026-06-01T00:29:00Z,30.04,20.7,21.59,0.05
2026-06-01T00:29:30Z,26.16,47.1,19.97,0.0
2026-06-01T00:30:00Z,21.27,30.5,8.47,0.0
2026-06-01T00:30:30Z,27.54,43.2,14.76,0.0
2026-06-01T00:31:00Z,33.25,29.8,31.61,0.03
2026-06-01T00:31:30Z,29.69,39.1,14.11,0.0
2026-06-01T00:32:00Z,29.51,20.0,20.57,0.0
2026-06-01T00:32:30Z,24.58,43.4,3.56,1.39
2026-06-01T00:33:00Z,32.15,42.9,17.85,0.0
2026-06-01T00:33:30Z,28.2,57.1,22.46,0.3
2026-06-01T00:34:00Z,28.23,33.0,19.45,0.33
2026-06-01T00:34:30Z,31.9,51.9,19.13,0.51
2026-06-01T00:35:00Z,34.01,37.7,23.93,0.49
2026-06-01T00:35:30Z,33.03,74.9,13.85,0.0
2026-06-01T00:36:00Z,30.95,20.0,20.87,0.1
2026-06-01T00:36:30Z,23.35,42.4,8.44,0.18
2026-06-01T00:37:00Z,34.39,72.7,7.23,0.0
2026-06-01T00:37:30Z,27.38,46.7,16.99,0.0
2026-06-01T00:38:00Z,26.57,20.0,14.12,0.0
2026-06-01T00:38:30Z,24.52,25.6,17.65,1.5
2026-06-01T00:39:00Z,26.55,45.6,25.45,1.5
2026-06-01T00:39:30Z,29.75,51.8,10.19,0.0
2026-06-01T00:40:00Z,27.14,24.6,7.43,0.99
2026-06-01T00:40:30Z,30.46,40.1,15.89,1.49
2026-06-01T00:41:00Z,31.91,20.0,14.28,0.0
2026-06-01T00:41:30Z,30.9,20.9,20.28,0.5
2026-06-01T00:42:00Z,24.4,47.6,8.22,1.27
2026-06-01T00:42:30Z,29.1,39.3,11.95,0.0
2026-06-01T00:43:00Z,28.62,27.8,19.66,1.48
2026-06-01T00:43:30Z,25.3,62.6,26.55,0.69
2026-06-01T00:44:00Z,32.33,31.9,5.13,0.0
2026-06-01T00:44:30Z,31.59,23.5,18.89,0.0
2026-06-01T00:45:00Z,31.84,35.1,10.73,0.27
2026-06-01T00:45:30Z,23.96,31.9,14.08,0.0
2026-06-01T00:46:00Z,32.15,20.2,25.86,0.0
2026-06-01T00:46:30Z,27.93,29.7,25.5,0.0
2026-06-01T00:47:00Z,23.82,25.0,20.25,0.0
2026-06-01T00:47:30Z,25.92,44.2,9.09,0.0
2026-06-01T00:48:00Z,28.97,34.7,20.97,1.39
2026-06-01T00:48:30Z,29.21,66.0,13.75,1.05
2026-06-01T00:49:00Z,28.1,51.8,32.04,0.0
2026-06-01T00:49:30Z,33.37,64.2,21.07,1.23
2026-06-01T00:50:00Z,30.18,20.0,20.54,1.5
2026-06-01T00:50:30Z,22.77,34.4,27.21,1.05
2026-06-01T00:51:00Z,29.09,47.0,16.44,1.4
2026-06-01T00:51:30Z,29.82,64.6,27.39,0.0
2026-06-01T00:52:00Z,36.89,44.8,27.22,0.15
2026-06-01T00:52:30Z,34.15,29.0,25.56,0.52
2026-06-01T00:53:00Z,28.36,20.0,18.72,0.0
2026-06-01T00:53:30Z,24.9,20.0,18.82,0.08
2026-06-01T00:54:00Z,23.6,38.3,3.19,0.99
2026-06-01T00:54:30Z,24.41,41.3,22.76,0.0
2026-06-01T00:55:00Z,23.79,20.0,14.2,0.0
2026-06-01T00:55:30Z,32.56,20.0,21.81,1.21
2026-06-01T00:56:00Z,29.92,39.7,28.9,0.38
2026-06-01T00:56:30Z,29.29,20.0,12.78,0.17
2026-06-01T00:57:00Z,25.85,30.6,30.74,0.45
2026-06-01T00:57:30Z,31.3,35.3,23.38,0.61
2026-06-01T00:58:00Z,30.17,49.9,29.24,0.0
2026-06-01T00:58:30Z,31.98,30.2,22.39,0.0
2026-06-01T00:59:00Z,30.08,58.9,17.12,0.0
2026-06-01T00:59:30Z,24.33,40.3,17.66,0.0
2026-06-01T01:00:00Z,32.68,56.1,9.73,0.0
2026-06-01T01:00:30Z,29.96,20.0,16.49,0.99
2026-06-01T01:01:00Z,27.67,20.0,25.66,0.42
2026-06-01T01:01:30Z,31.03,20.0,19.5,1.5
2026-06-01T01:02:00Z,32.38,35.8,11.26,0.0
2026-06-01T01:02:30Z,30.6,74.4,25.71,0.0
2026-06-01T01:03:00Z,24.79,79.5,24.44,0.0
2026-06-01T01:03:30Z,28.56,20.0,13.89,0.0
2026-06-01T01:04:00Z,29.79,59.0,24.25,1.11
2026-06-01T01:04:30Z,22.12,25.3,14.34,0.33
2026-06-01T01:05:00Z,33.46,36.9,20.17,0.0
2026-06-01T01:05:30Z,24.03,20.0,16.09,0.0
2026-06-01T01:06:00Z,33.85,37.5,23.94,0.0
2026-06-01T01:06:30Z,28.78,47.0,23.51,0.0
2026-06-01T01:07:00Z,25.17,65.0,25.31,0.0
2026-06-01T01:07:30Z,22.79,20.2,13.33,0.37
2026-06-01T01:08:00Z,27.92,50.8,24.61,0.0
2026-06-01T01:08:30Z,22.46,21.1,5.18,0.2
2026-06-01T01:09:00Z,31.78,42.0,32.64,0.98
2026-06-01T01:09:30Z,33.21,36.1,15.39,0.31
2026-06-01T01:10:00Z,28.74,20.0,11.61,0.0
2026-06-01T01:10:30Z,30.17,46.0,17.3,0.0
2026-06-01T01:11:00Z,30.28,40.3,5.34,0.22
2026-06-01T01:11:30Z,27.75,21.0,15.62,1.16
2026-06-01T01:12:00Z,23.61,23.4,9.53,0.33
2026-06-01T01:12:30Z,21.68,43.4,14.21,0.69
2026-06-01T01:13:00Z,30.28,28.6,20.22,0.25
2026-06-01T01:13:30Z,27.94,20.0,7.95,0.71
2026-06-01T01:14:00Z,18.91,47.3,6.83,0.0
2026-06-01T01:14:30Z,31.97,74.4,19.67,0.37
2026-06-01T01:15:00Z,22.55,20.0,8.42,0.0
2026-06-01T01:15:30Z,25.55,85.5,22.33,0.68
2026-06-01T01:16:00Z,26.21,55.6,15.1,0.0
2026-06-01T01:16:30Z,27.56,75.2,33.63,1.5
2026-06-01T01:17:00Z,29.3,29.4,32.08,1.31
2026-06-01T01:17:30Z,23.65,46.1,5.94,0.0
2026-06-01T01:18:00Z,28.7,50.8,13.16,0.0
2026-06-01T01:18:30Z,26.51,52.5,22.95,1.11
2026-06-01T01:19:00Z,35.46,42.3,16.91,0.16
2026-06-01T01:19:30Z,26.68,49.9,14.7,0.0
2026-06-01T01:20:00Z,24.42,21.8,19.76,0.0
2026-06-01T01:20:30Z,30.81,24.4,38.42,0.0
2026-06-01T01:21:00Z,29.51,45.5,12.48,0.49
2026-06-01T01:21:30Z,21.7,20.0,11.71,0.5
2026-06-01T01:22:00Z,23.3,55.6,15.9,0.0
2026-06-01T01:22:30Z,33.55,57.3,17.64,0.0
2026-06-01T01:23:00Z,28.76,37.2,27.68,0.99
2026-06-01T01:23:30Z,27.53,20.0,10.96,0.0
2026-06-01T01:24:00Z,22.81,41.2,18.85,0.27
2026-06-01T01:24:30Z,31.06,31.6,27.37,0.0
2026-06-01T01:25:00Z,25.07,66.6,22.99,0.0
2026-06-01T01:25:30Z,17.92,59.9,10.78,0.0
2026-06-01T01:26:00Z,26.67,23.0,12.4,1.5
2026-06-01T01:26:30Z,31.34,20.0,25.19,0.38
2026-06-01T01:27:00Z,30.24,20.0,15.76,0.0
2026-06-01T01:27:30Z,19.68,24.8,28.18,0.12
2026-06-01T01:28:00Z,21.26,67.4,14.91,0.83
2026-06-01T01:28:30Z,23.72,36.8,11.86,0.0
2026-06-01T01:29:00Z,23.3,20.0,18.05,0.0
2026-06-01T01:29:30Z,29.21,20.0,14.02,0.0
2026-06-01T01:30:00Z,23.84,32.8,17.8,0.0
2026-06-01T01:30:30Z,25.85,44.1,24.85,0.0
2026-06-01T01:31:00Z,22.64,48.6,16.72,0.0
2026-06-01T01:31:30Z,27.44,52.2,13.82,0.0
2026-06-01T01:32:00Z,20.82,30.2,16.33,1.46
2026-06-01T01:32:30Z,29.93,55.6,30.8,0.0
2026-06-01T01:33:00Z,30.28,67.1,14.53,0.0
2026-06-01T01:33:30Z,21.34,28.3,21.98,0.89
2026-06-01T01:34:00Z,28.19,68.1,18.7,0.4
2026-06-01T01:34:30Z,35.45,20.0,17.15,0.0
2026-06-01T01:35:00Z,24.77,61.6,23.39,1.21
2026-06-01T01:35:30Z,26.77,45.6,27.27,0.23
2026-06-01T01:36:00Z,24.66,85.7,14.78,0.87
2026-06-01T01:36:30Z,26.6,68.0,27.16,1.5
2026-06-01T01:37:00Z,29.8,52.6,18.38,0.0
2026-06-01T01:37:30Z,26.75,37.0,14.32,0.0
2026-06-01T01:38:00Z,24.92,68.1,14.64,0.0
2026-06-01T01:38:30Z,29.86,52.4,28.18,0.0
2026-06-01T01:39:00Z,32.48,20.8,19.66,0.31
2026-06-01T01:39:30Z,22.76,22.1,16.18,0.0
2026-06-01T01:40:00Z,29.16,20.0,17.59,1.5
2026-06-01T01:40:30Z,25.35,20.0,16.61,0.0
2026-06-01T01:41:00Z,23.84,31.9,29.16,1.5
2026-06-01T01:41:30Z,28.26,21.7,15.31,0.0
2026-06-01T01:42:00Z,19.39,35.9,17.83,0.0
2026-06-01T01:42:30Z,23.47,55.3,15.23,1.18
2026-06-01T01:43:00Z,31.22,81.2,11.22,0.0
2026-06-01T01:43:30Z,23.69,20.0,18.75,0.52
2026-06-01T01:44:00Z,21.18,64.6,4.71,1.17
2026-06-01T01:44:30Z,25.84,64.8,27.46,0.0
2026-06-01T01:45:00Z,22.88,33.7,18.16,1.5
2026-06-01T01:45:30Z,25.6,83.2,20.33,0.0
2026-06-01T01:46:00Z,38.8,30.5,28.72,0.0
2026-06-01T01:46:30Z,25.89,54.8,26.52,1.5
2026-06-01T01:47:00Z,25.88,43.4,13.21,0.0
2026-06-01T01:47:30Z,29.07,41.6,13.79,0.69
2026-06-01T01:48:00Z,28.99,36.9,32.77,0.35
2026-06-01T01:48:30Z,25.94,20.0,21.37,0.0
2026-06-01T01:49:00Z,27.98,27.7,16.46,0.0
2026-06-01T01:49:30Z,27.79,70.6,21.28,0.13
2026-06-01T01:50:00Z,32.31,43.1,19.52,0.0
2026-06-01T01:50:30Z,24.06,51.0,16.42,0.1
2026-06-01T01:51:00Z,34.61,20.0,17.38,0.0
2026-06-01T01:51:30Z,23.75,20.0,15.65,0.81
2026-06-01T01:52:00Z,30.2,43.9,19.02,1.07
2026-06-01T01:52:30Z,18.14,25.7,15.14,0.64
2026-06-01T01:53:00Z,22.41,39.5,16.35,0.0
2026-06-01T01:53:30Z,25.29,53.6,19.71,1.37
2026-06-01T01:54:00Z,27.46,48.6,19.39,0.0
2026-06-01T01:54:30Z,27.6,30.7,11.34,1.04
2026-06-01T01:55:00Z,27.78,63.7,20.17,0.83
2026-06-01T01:55:30Z,18.61,20.0,13.49,0.0
2026-06-01T01:56:00Z,25.76,46.6,23.83,1.5
2026-06-01T01:56:30Z,26.9,27.0,7.92,0.0
2026-06-01T01:57:00Z,19.17,20.0,23.93,1.5
2026-06-01T01:57:30Z,30.65,20.0,8.96,0.0
2026-06-01T01:58:00Z,24.74,20.0,31.45,1.31
2026-06-01T01:58:30Z,29.49,20.0,19.77,0.0
2026-06-01T01:59:00Z,25.47,35.6,21.55,0.19
2026-06-01T01:59:30Z,26.41,29.0,19.75,0.0
2026-06-01T02:00:00Z,34.97,26.5,24.79,0.0
2026-06-01T02:00:30Z,28.28,20.0,14.02,0.44
2026-06-01T02:01:00Z,29.19,41.7,28.12,0.91
2026-06-01T02:01:30Z,22.18,20.0,4.68,0.0
2026-06-01T02:02:00Z,27.54,24.8,9.6,1.45
2026-06-01T02:02:30Z,33.32,68.9,18.36,1.21
2026-06-01T02:03:00Z,32.75,47.0,19.3,0.26
2026-06-01T02:03:30Z,25.28,36.5,13.28,1.5
2026-06-01T02:04:00Z,20.95,20.0,20.36,1.5
2026-06-01T02:04:30Z,27.58,32.8,8.48,0.0
2026-06-01T02:05:00Z,24.8,27.0,13.47,0.28
2026-06-01T02:05:30Z,28.24,40.2,16.86,0.0
2026-06-01T02:06:00Z,24.03,40.6,35.17,0.0
2026-06-01T02:06:30Z,23.62,20.0,22.9,1.5
2026-06-01T02:07:00Z,24.35,43.8,13.18,0.58
2026-06-01T02:07:30Z,28.14,42.1,7.81,0.0
2026-06-01T02:08:00Z,21.23,23.8,12.73,0.86
2026-06-01T02:08:30Z,21.28,83.1,16.88,0.0
2026-06-01T02:09:00Z,25.19,64.5,25.58,1.5
2026-06-01T02:09:30Z,25.13,36.3,24.98,0.38
2026-06-01T02:10:00Z,24.54,20.0,13.08,0.0
2026-06-01T02:10:30Z,23.81,58.6,18.0,1.18
2026-06-01T02:11:00Z,22.33,68.1,9.26,1.26
2026-06-01T02:11:30Z,25.09,20.0,18.84,0.75
2026-06-01T02:12:00Z,21.51,21.0,18.68,1.14
2026-06-01T02:12:30Z,26.92,20.0,6.23,1.03
2026-06-01T02:13:00Z,23.17,70.8,32.78,0.0
2026-06-01T02:13:30Z,14.34,29.8,19.95,0.0
2026-06-01T02:14:00Z,29.72,20.0,19.2,0.29
2026-06-01T02:14:30Z,20.23,36.3,20.82,0.13
2026-06-01T02:15:00Z,22.88,20.0,21.64,0.0
2026-06-01T02:15:30Z,32.38,20.0,15.76,0.68
2026-06-01T02:16:00Z,28.87,20.0,24.13,0.7
2026-06-01T02:16:30Z,17.79,49.9,23.79,0.0
2026-06-01T02:17:00Z,25.91,20.0,15.5,0.33
2026-06-01T02:17:30Z,24.98,47.8,24.8,0.95
2026-06-01T02:18:00Z,29.94,28.9,20.65,0.0
2026-06-01T02:18:30Z,18.52,51.4,22.71,0.6
2026-06-01T02:19:00Z,27.22,20.0,5.73,0.0
2026-06-01T02:19:30Z,21.91,52.9,18.33,0.66
2026-06-01T02:20:00Z,23.95,49.6,17.87,0.99
2026-06-01T02:20:30Z,20.22,20.0,9.77,0.9
2026-06-01T02:21:00Z,23.07,27.8,23.22,0.16
2026-06-01T02:21:30Z,19.6,40.1,17.14,0.0
2026-06-01T02:22:00Z,22.19,20.0,15.88,1.06
2026-06-01T02:22:30Z,23.38,20.0,20.48,0.0
2026-06-01T02:23:00Z,36.25,20.2,4.09,0.0
2026-06-01T02:23:30Z,22.79,20.0,18.05,0.22
2026-06-01T02:24:00Z,19.48,54.2,13.0,0.0
2026-06-01T02:24:30Z,21.66,20.0,18.02,0.0
2026-06-01T02:25:00Z,26.33,43.0,14.09,0.0
2026-06-01T02:25:30Z,25.76,20.0,14.42,0.05
2026-06-01T02:26:00Z,23.2,31.9,19.96,0.0
2026-06-01T02:26:30Z,19.6,20.0,10.23,0.0
2026-06-01T02:27:00Z,28.51,77.1,17.2,0.0
2026-06-01T02:27:30Z,20.14,29.1,20.29,0.0
2026-06-01T02:28:00Z,19.96,58.8,18.42,0.0
2026-06-01T02:28:30Z,23.77,24.5,15.21,0.69
2026-06-01T02:29:00Z,27.51,43.4,24.31,1.01
2026-06-01T02:29:30Z,17.67,48.8,25.5,0.0
2026-06-01T02:30:00Z,25.19,43.8,19.75,0.0
2026-06-01T02:30:30Z,26.57,31.2,20.92,0.0
2026-06-01T02:31:00Z,33.69,85.7,15.18,1.5
2026-06-01T02:31:30Z,27.17,48.4,19.82,0.0
2026-06-01T02:32:00Z,23.91,34.7,19.88,1.13
2026-06-01T02:32:30Z,26.58,48.9,25.33,0.0
2026-06-01T02:33:00Z,25.86,67.5,25.52,0.0
2026-06-01T02:33:30Z,24.52,60.9,17.28,0.0
2026-06-01T02:34:00Z,26.53,20.0,12.72,0.0
2026-06-01T02:34:30Z,27.88,20.0,16.72,1.38
2026-06-01T02:35:00Z,30.92,20.0,10.35,0.0
2026-06-01T02:35:30Z,28.25,20.0,8.77,0.0
2026-06-01T02:36:00Z,22.44,49.7,20.99,0.0
2026-06-01T02:36:30Z,29.51,61.4,13.67,0.0
2026-06-01T02:37:00Z,18.28,25.6,21.18,0.0
2026-06-01T02:37:30Z,27.23,38.4,28.55,0.31
2026-06-01T02:38:00Z,27.66,45.3,8.56,0.0
2026-06-01T02:38:30Z,25.65,25.6,13.48,0.0
2026-06-01T02:39:00Z,21.86,20.0,7.71,0.0
2026-06-01T02:39:30Z,24.39,67.5,16.93,0.0
2026-06-01T02:40:00Z,18.07,67.5,20.72,0.0
2026-06-01T02:40:30Z,25.21,52.3,10.31,0.0
2026-06-01T02:41:00Z,25.39,20.0,23.97,0.0
2026-06-01T02:41:30Z,25.94,56.5,24.87,0.0
2026-06-01T02:42:00Z,27.18,50.7,13.88,0.0
2026-06-01T02:42:30Z,27.54,52.0,17.99,0.03
2026-06-01T02:43:00Z,26.76,44.5,18.95,0.0
2026-06-01T02:43:30Z,23.9,77.9,20.98,0.0
2026-06-01T02:44:00Z,24.39,55.8,23.34,0.0
2026-06-01T02:44:30Z,27.64,27.7,18.78,0.0
2026-06-01T02:45:00Z,22.4,40.2,14.92,0.56
2026-06-01T02:45:30Z,20.17,45.4,19.84,1.13
2026-06-01T02:46:00Z,25.71,37.1,21.83,0.63
2026-06-01T02:46:30Z,24.33,52.8,14.89,1.06
2026-06-01T02:47:00Z,25.83,37.1,17.83,0.24
2026-06-01T02:47:30Z,24.19,22.2,5.96,1.5
2026-06-01T02:48:00Z,31.2,20.4,7.5,0.0
2026-06-01T02:48:30Z,13.78,23.3,26.98,0.33
2026-06-01T02:49:00Z,20.63,27.2,23.92,1.14
2026-06-01T02:49:30Z,20.63,46.0,17.48,1.5
2026-06-01T02:50:00Z,21.93,44.2,17.9,0.99
2026-06-01T02:50:30Z,24.52,58.6,16.05,1.5
2026-06-01T02:51:00Z,19.6,20.0,34.62,0.0
2026-06-01T02:51:30Z,15.09,41.1,10.6,0.0
2026-06-01T02:52:00Z,21.6,20.0,18.83,0.0
2026-06-01T02:52:30Z,20.82,42.7,20.35,0.58
2026-06-01T02:53:00Z,28.36,27.9,14.7,0.0
2026-06-01T02:53:30Z,23.52,39.0,20.05,1.5
2026-06-01T02:54:00Z,27.96,40.9,16.11,1.04
2026-06-01T02:54:30Z,35.43,70.7,12.54,0.0
2026-06-01T02:55:00Z,25.25,28.9,15.9,0.0
2026-06-01T02:55:30Z,29.05,20.0,16.26,0.71
2026-06-01T02:56:00Z,28.75,66.0,19.64,0.0
2026-06-01T02:56:30Z,20.09,44.8,25.25,0.0
2026-06-01T02:57:00Z,27.37,57.6,16.98,0.31
2026-06-01T02:57:30Z,21.82,47.0,15.15,0.32
2026-06-01T02:58:00Z,17.56,77.1,19.45,0.0
2026-06-01T02:58:30Z,24.4,68.1,4.87,0.51
2026-06-01T02:59:00Z,25.49,21.4,5.38,1.01
2026-06-01T02:59:30Z,27.04,32.6,18.58,1.04
2026-06-01T03:00:00Z,32.72,53.7,10.69,0.61
2026-06-01T03:00:30Z,25.25,38.9,22.92,1.59
2026-06-01T03:01:00Z,21.29,53.0,18.08,1.79
2026-06-01T03:01:30Z,18.07,94.7,7.47,1.82
2026-06-01T03:02:00Z,27.02,59.4,23.04,0.79
2026-06-01T03:02:30Z,22.19,89.1,22.97,1.97
2026-06-01T03:03:00Z,22.66,146.4,23.32,1.0
2026-06-01T03:03:30Z,21.89,127.8,41.97,1.42
2026-06-01T03:04:00Z,17.32,171.9,26.01,2.25
2026-06-01T03:04:30Z,22.36,149.9,23.23,0.89
2026-06-01T03:05:00Z,23.36,172.9,26.12,2.23
2026-06-01T03:05:30Z,24.28,227.4,30.81,1.77
2026-06-01T03:06:00Z,29.39,150.4,22.31,1.71
2026-06-01T03:06:30Z,26.63,241.9,23.34,3.37
2026-06-01T03:07:00Z,21.86,239.2,25.08,2.91
2026-06-01T03:07:30Z,21.5,228.5,21.54,3.02
2026-06-01T03:08:00Z,16.93,261.3,39.24,1.92
2026-06-01T03:08:30Z,31.23,230.2,35.13,3.03
2026-06-01T03:09:00Z,22.37,338.6,38.04,2.53
2026-06-01T03:09:30Z,22.51,277.9,31.34,4.26
2026-06-01T03:10:00Z,22.6,243.0,36.32,2.08
2026-06-01T03:10:30Z,21.47,329.0,14.42,2.47
2026-06-01T03:11:00Z,22.05,193.2,33.82,2.65
2026-06-01T03:11:30Z,22.35,280.9,34.02,4.14
2026-06-01T03:12:00Z,26.49,466.0,43.89,3.48
2026-06-01T03:12:30Z,20.72,482.4,33.5,3.51
2026-06-01T03:13:00Z,16.54,491.6,41.5,3.33
2026-06-01T03:13:30Z,22.92,342.8,35.36,3.68
2026-06-01T03:14:00Z,24.24,314.0,34.29,5.42
2026-06-01T03:14:30Z,20.25,402.8,37.9,2.97
2026-06-01T03:15:00Z,22.23,398.1,37.0,4.93
2026-06-01T03:15:30Z,28.86,546.1,47.11,6.61
2026-06-01T03:16:00Z,23.95,418.3,39.64,4.8
2026-06-01T03:16:30Z,26.63,314.0,39.05,4.95
2026-06-01T03:17:00Z,21.21,519.5,44.93,6.86
2026-06-01T03:17:30Z,30.43,591.3,42.38,6.22
2026-06-01T03:18:00Z,23.43,537.8,45.12,7.94
2026-06-01T03:18:30Z,23.63,423.6,35.94,5.96
2026-06-01T03:19:00Z,24.36,559.8,44.04,7.36
2026-06-01T03:19:30Z,33.22,598.6,70.55,3.29
2026-06-01T03:20:00Z,25.33,373.3,53.43,5.18
2026-06-01T03:20:30Z,24.05,613.6,43.59,6.56
2026-06-01T03:21:00Z,28.1,639.9,50.3,7.77
2026-06-01T03:21:30Z,21.62,579.5,51.92,7.57
2026-06-01T03:22:00Z,19.86,712.3,41.29,4.99
2026-06-01T03:22:30Z,23.32,447.8,58.61,6.34
2026-06-01T03:23:00Z,23.97,645.0,40.29,6.41
2026-06-01T03:23:30Z,32.23,750.4,63.14,5.75
2026-06-01T03:24:00Z,22.75,757.8,59.3,7.68
2026-06-01T03:24:30Z,30.32,710.7,46.55,8.13
2026-06-01T03:25:00Z,24.02,655.8,58.93,4.61
2026-06-01T03:25:30Z,27.18,499.6,45.17,4.08
2026-06-01T03:26:00Z,19.77,864.8,58.56,7.7
2026-06-01T03:26:30Z,22.39,415.5,68.37,7.03
2026-06-01T03:27:00Z,29.77,440.1,53.6,4.85
2026-06-01T03:27:30Z,30.85,491.7,51.61,9.46
2026-06-01T03:28:00Z,21.29,602.9,63.04,7.09
2026-06-01T03:28:30Z,15.09,963.2,64.65,7.18
2026-06-01T03:29:00Z,20.2,776.6,54.34,11.49
2026-06-01T03:29:30Z,22.81,512.1,53.01,5.59
2026-06-01T03:30:00Z,22.58,837.7,70.77,6.41
2026-06-01T03:30:30Z,20.94,877.2,49.69,7.41
2026-06-01T03:31:00Z,26.66,957.2,56.25,9.67
2026-06-01T03:31:30Z,15.63,834.2,62.58,5.64
2026-06-01T03:32:00Z,27.27,600.3,57.52,9.86
2026-06-01T03:32:30Z,29.83,678.8,59.95,6.16
2026-06-01T03:33:00Z,25.81,819.3,64.4,8.89
2026-06-01T03:33:30Z,30.09,748.6,57.25,6.26
2026-06-01T03:34:00Z,19.21,944.6,65.04,12.45
2026-06-01T03:34:30Z,26.68,592.8,59.82,8.23
2026-06-01T03:35:00Z,18.12,482.8,75.65,10.04
2026-06-01T03:35:30Z,23.33,876.1,64.47,9.77
2026-06-01T03:36:00Z,25.77,546.4,70.86,6.38
2026-06-01T03:36:30Z,24.78,699.1,70.04,9.73
2026-06-01T03:37:00Z,25.5,1004.2,53.61,7.52
2026-06-01T03:37:30Z,17.9,878.6,73.96,5.17
2026-06-01T03:38:00Z,30.14,648.2,53.63,10.31
2026-06-01T03:38:30Z,27.32,575.7,62.36,5.96
2026-06-01T03:39:00Z,26.15,683.0,53.71,6.81
2026-06-01T03:39:30Z,26.86,854.6,62.77,8.45
2026-06-01T03:40:00Z,24.65,899.9,69.39,6.09
2026-06-01T03:40:30Z,25.99,791.0,59.6,12.12
2026-06-01T03:41:00Z,26.41,945.3,71.15,11.92
2026-06-01T03:41:30Z,30.05,1021.3,69.11,9.93
2026-06-01T03:42:00Z,25.7,1070.9,64.27,10.17
2026-06-01T03:42:30Z,30.44,739.9,62.52,11.25
2026-06-01T03:43:00Z,24.84,878.1,66.27,5.44
2026-06-01T03:43:30Z,24.27,534.8,68.86,7.38
